Song,Artist,Weeks On Chart,Peak Rank
1138,Do I Make You Wanna,Billy Currington,19,47
1139,Escapate Conmigo,Wisin Featuring Ozuna,20,63
1140,What Ifs,Kane Brown Featuring Lauren Alaina,23,26
1141,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",20,44
1142,It Ain't My Fault,Brothers Osborne,16,79
1143,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,21,2
1144,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",18,20
1145,Relationship,Young Thug Featuring Future,14,65
1146,Feel It Still,Portugal. The Man,45,4
1147,Real Hitta,Plies Featuring Kodak Black,0,100
1148,Signs,Drake,6,36
1149,Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,0,68
1150,No Complaints,Metro Boomin Featuring Offset & Drake,5,71
1151,On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",0,88
1152,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,21,45
1153,Mi Gente,J Balvin & Willy William Featuring Beyonce,30,3
1154,Rake It Up,Yo Gotti Featuring Nicki Minaj,22,8
1155,Bodak Yellow (Money Moves),Cardi B,35,1
1156,Who Dat Boy,"Tyler, The Creator",0,87
1157,Heartache On The Dance Floor,Jon Pardi,18,47
1158,Extra Luv,Future Featuring YG,0,99
1159,The Story Of O.J.,JAY-Z,3,23
1160,Praying,Kesha,21,22
1161,Bank Account,21 Savage,29,12
1162,4:44,JAY-Z,2,35
1163,Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",0,47
1164,Family Feud,JAY-Z Featuring Beyonce,0,51
1165,Kill Jay Z,JAY-Z,0,55
1166,Smile,JAY-Z Featuring Gloria Carter,0,56
1167,Caught Their Eyes,JAY-Z Featuring Frank Ocean,0,63
1168,Moonlight,XXXTENTACION,20,13
1169,Glorious,Macklemore Featuring Skylar Grey,19,49
1170,Marcy Me,JAY-Z,0,90
1171,Fetish,Selena Gomez Featuring Gucci Mane,12,27
1172,A Lie,French Montana Featuring The Weeknd & Max B,0,75
1173,Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,0,86
1174,Young Dumb & Broke,Khalid,36,18
1175,Woman,Kesha Featuring The Dap-Kings Horns,0,96
1176,Numb,XXXTENTACION,33,34
1177,In The End,Linkin Park,39,37
1178,Back To You,Selena Gomez,26,18
1179,What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",3,61
1180,Wins & Losses,Meek Mill,0,79
1181,It's Goin' Down,Descendants 2 Cast,4,77
1182,1942 Flows,Meek Mill,0,83
1183,Imitadora,Romeo Santos,0,91
1184,We Ball,Meek Mill Featuring Young Thug,0,96
1185,F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,0,97
1186,Heavy Heart,Meek Mill,0,99
1187,You Da Baddest,Future Featuring Nicki Minaj,2,38
1188,When It Rains It Pours,Luke Combs,20,33
1189,They Don't Know,Jason Aldean,12,67
1190,Honest,The Chainsmokers,4,77
1191,New Rules,Dua Lipa,48,6
1192,Wish I Knew You,The Revivalists,9,84
1193,Every Little Thing,Carly Pearce,17,50
1194,Learn To Let Go,Kesha,0,97
1195,All The Pretty Girls,Kenny Chesney,14,63
1196,For Her,Chris Lane,4,92
1197,The Race,Tay-K,20,44
1198,Patty Cake,Kodak Black,3,76
1199,OMG,Camila Cabello Featuring Quavo,0,81
1200,What About Us,P!nk,22,13
1201,Perplexing Pegasus,Rae Sremmurd,3,84
1202,B.E.D.,Jacquees,13,69
1203,Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",0,95
1204,Havana,Camila Cabello Featuring Young Thug,46,1
1205,Silence,Marshmello Featuring Khalid,23,30
1206,More Girls Like You,Kip Moore,12,66
1207,Untouchable,YoungBoy Never Broke Again,2,86
1208,I Could Use A Love Song,Maren Morris,21,56
1209,Fix A Drink,Chris Janson,14,67
1210,Friends,The Carters,29,11
1211,I Get The Bag,Gucci Mane Featuring Migos,27,11
1212,Roll In Peace,Kodak Black Featuring XXXTENTACION,26,31
1213,Look What You Made Me Do,Taylor Swift,20,1
1214,Younger Now,Miley Cyrus,0,79
1215,Its Every Night Sis,RiceGum Featuring Alissa Violet,0,80
1216,Transportin',Kodak Black,16,46
1217,Questions,Chris Brown,13,78
1218,Jocelyn Flores,XXXTENTACION,20,19
1219,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,23,24
1220,F**k Love,XXXTENTACION Featuring Trippie Redd,21,28
1221,Sauce It Up,Lil Uzi Vert,15,49
1222,Everybody Dies In Their Nightmares,XXXTENTACION,7,42
1223,444+222,Lil Uzi Vert,3,60
1224,What Lovers Do,Maroon 5 Featuring SZA,22,9
1225,Revenge,XXXTENTACION,2,77
1226,Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,2,79
1227,Two,Lil Uzi Vert,0,80
1228,For Real,Lil Uzi Vert,0,82
1229,UnFazed,Lil Uzi Vert Featuring The Weeknd,0,84
1230,No Sleep Leak,Lil Uzi Vert,0,90
1231,Depression & Obsession,XXXTENTACION,0,91
1232,Dark Queen,Lil Uzi Vert,2,91
1233,Save Me,XXXTENTACION,0,94
1234,Carry On,XXXTENTACION,0,95
1235,Tell Me You Love Me,Demi Lovato,20,53
1236,...Ready For It?,Taylor Swift,20,4
1237,These Heaux,Bhad Bhabie,3,77
1238,Bad At Love,Halsey,33,5
1239,Greatest Love Story,LANCO,21,45
1240,Sky Walker,Miguel Featuring Travis Scott,26,29
1241,No Fear,DeJ Loaf,0,100
1242,Too Good At Goodbyes,Sam Smith,24,4
1243,Dusk Till Dawn,Zayn Featuring Sia,17,44
1244,Love So Soft,Kelly Clarkson,13,47
1245,I'll Name The Dogs,Blake Shelton,20,56
1246,Found You,Kane Brown,0,80
1247,Gucci Gang,Lil Pump,24,3
1248,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",20,46
1249,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,22,40
1250,Rockstar,Post Malone Featuring 21 Savage,41,1
1251,Too Much To Ask,Niall Horan,12,66
1252,Curve,Gucci Mane Featuring The Weeknd,3,67
1253,DNA,BTS,4,67
1254,Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",0,92
1255,I Fall Apart,Post Malone,30,16
1256,Good Old Days,Macklemore Featuring Kesha,20,48
1257,Losing Sleep,Chris Young,20,60
1258,Like I Loved You,Brett Young,20,46
1259,Round Here Buzz,Eric Church,19,56
1260,Plain Jane,A$AP Ferg Featuring Nicki Minaj,25,27
1261,Hi Bich,Bhad Bhabie,0,68
1262,Say A',A Boogie Wit da Hoodie,2,75
1263,Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,0,84
1264,Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,0,86
1265,Smooth,Florida Georgia Line,7,89
1266,Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,0,20
1267,Pray,Sam Smith Featuring Logic,2,55
1268,How Long,Charlie Puth,24,21
1269,Heaven,Kane Brown,27,15
1270,Dear Hate,Maren Morris Featuring Vince Gill,0,91
1271,Lights Down Low,MAX Featuring gnash,28,20
1272,Too Hotty,"Quavo, Takeoff & Offset",4,91
1273,High End,Chris Brown Featuring Future & Young Thug,2,82
1274,Yours,Russell Dickerson,20,49
1275,Let You Down,NF,28,12
1276,Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,0,95
1277,You Broke Up With Me,Walker Hayes,19,62
1278,Mayores,Becky G Featuring Bad Bunny,18,74
1279,Ask Me How I Know,Garth Brooks,7,71
1280,Gorgeous,Taylor Swift,4,13
1281,Patek Water,Future & Young Thug Featuring Offset,4,50
1282,Meant To Be,Bebe Rexha & Florida Georgia Line,52,2
1283,No Cap,Future & Young Thug,0,62
1284,Feed Me Dope,Future,0,68
1285,All Da Smoke,Future & Young Thug,0,77
1286,Candy Paint,Post Malone,21,34
1287,Wolves,Selena Gomez X Marshmello,23,20
1288,4 Da Gang,Future,0,92
1289,Bedroom Floor,Liam Payne,0,98
1290,Three,Future & Young Thug,0,100
1291,MotorSport,"Migos, Nicki Minaj & Cardi B",22,6
1292,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",7,35
1293,Ric Flair Drip,Offset & Metro Boomin,31,13
1294,Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",3,64
1295,My Choppa Hate N****s,21 Savage & Metro Boomin,2,73
1296,All On Me,Devin Dawson,20,52
1297,Call It What You Want,Taylor Swift,2,27
1298,Lemon,N*E*R*D & Rihanna,22,36
1299,Rubbin Off The Paint,YBN Nahmir,17,46
1300,Wait,Maroon 5,24,24
1301,Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,2,80
1302,Mad Stalkers,"21 Savage, Offset & Metro Boomin",0,99
1303,Nightmare,Offset & Metro Boomin,0,100
1304,Walk On Water,Eminem Featuring Beyonce,5,14
1305,Gummo,6ix9ine,20,12
1306,Wanted You,NAV Featuring Lil Uzi Vert,7,64
1307,Female,Keith Urban,6,69
1308,Betrayed,Lil Xan,20,64
1309,The Plan,G-Eazy,0,96
1310,Pick It Up,Famous Dex Featuring A$AP Rocky,20,54
1311,Echame La Culpa,Luis Fonsi & Demi Lovato,20,47
1312,Awful Things,Lil Peep,0,79
1313,End Game,Taylor Swift Featuring Ed Sheeran & Future,14,18
1314,When We,Tank,20,78
1315,Beautiful Trauma,P!nk,15,78
1316,No Smoke,YoungBoy Never Broke Again,18,61
1317,The Rest Of Our Life,Tim McGraw & Faith Hill,0,98
1318,Written In The Sand,Old Dominion,20,51
1319,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,4,94
1320,MIC Drop,BTS Featuring Desiigner,10,28
1321,Codeine Dreaming,Kodak Black Featuring Lil Wayne,14,52
1322,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",6,75
1323,Legends,Kelsea Ballerini,12,65
1324,Total Eclipse Of The Heart,Chloe Kohanski,0,99
1325,Perro Fiel,Shakira Featuring Nicky Jam,0,100
1326,Him & I,G-Eazy & Halsey,20,14
1327,Kooda,6ix9ine,9,50
1328,Juice,Yo Gotti,6,90
1329,Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,0,95
1330,Marry Me,Thomas Rhett,20,30
1331,Five More Minutes,Scotty McCreery,20,44
1332,Criminal,Natti Natasha x Ozuna,3,95
1333,Never Be The Same,Camila Cabello,37,6
1334,Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,0,67
1335,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,7,72
1336,My Dawg,Lil Baby,7,77
1337,Danger,Migos & Marshmello,0,82
1338,Bartier Cardi,Cardi B Featuring 21 Savage,20,14
1339,River,Eminem Featuring Ed Sheeran,13,32
1340,La Modelo,Ozuna x Cardi B,14,52
1341,Eye 2 Eye,Huncho Jack Featuring Takeoff,0,65
1342,Modern Slavery,Huncho Jack,0,68
1343,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,0,69
1344,Black & Chinese,Huncho Jack,0,71
1345,Ice Tray,Quavo & Lil Yachty,6,74
1346,Dubai Shit,Huncho Jack Featuring Offset,0,83
1347,Huncho Jack,Huncho Jack,0,87
1348,Motorcycle Patches,Huncho Jack,0,90
1349,Saint,Huncho Jack,0,92
1350,Stir Fry,Migos,21,8
1351,Finesse,Drake,23,3
1352,One Foot,WALK THE MOON,8,65
1353,This Is Me,Keala Settle & The Greatest Showman Ensemble,14,58
1354,Rewrite The Stars,Zac Efron & Zendaya,7,70
1355,Corazon,Maluma X Nego do Borel,9,87
1356,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",4,88
1357,Filthy,Justin Timberlake,6,9
1358,All The Stars,Kendrick Lamar & SZA,21,7
1359,For You (Fifty Shades Freed),Liam Payne & Rita Ora,3,76
1360,Nowadays,Lil Skies Featuring Landon Cube,13,55
1361,I Miss You,Clean Bandit Featuring Julia Michaels,0,92
1362,Red Roses,Lil Skies Featuring Landon Cube,20,69
1363,The Champion,Carrie Underwood Featuring Ludacris,3,47
1364,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",8,43
1365,Outside Today,YoungBoy Never Broke Again,19,31
1366,My My My!,Troye Sivan,0,80
1367,Tequila,Dan + Shay,38,21
1368,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",20,21
1369,IDGAF,Dua Lipa,23,49
1370,El Bano,Enrique Iglesias Featuring Bad Bunny,0,98
1371,God's Plan,Drake,36,1
1372,Diplomatic Immunity,Drake,3,7
1373,Mine,Bazzi,34,11
1374,Sick Boy,The Chainsmokers,3,65
1375,Supplies,Justin Timberlake,2,71
1376,No Name,NF,0,82
1377,Rock,Plies,5,95
1378,Say Something,Justin Timberlake Featuring Chris Stapleton,16,9
1379,Walk It Talk It,Migos Featuring Drake,22,10
1380,The Middle,"Zedd, Maren Morris & Grey",40,5
1381,You Make It Easy,Jason Aldean,20,28
1382,Narcos,Migos,15,36
1383,BBO (Bad Bitches Only),Migos Featuring 21 Savage,2,48
1384,Notice Me,Migos Featuring Post Malone,5,52
1385,Supastars,Migos,0,53
1386,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",0,64
1387,Gang Gang,Migos,0,73
1388,New Freezer,Rich The Kid Featuring Kendrick Lamar,19,41
1389,Higher We Go (Intro),Migos,0,83
1390,Auto Pilot,Migos,0,85
1391,Emoji A Chain,Migos,0,87
1392,El Farsante,Ozuna & Romeo Santos,20,49
1393,Most People Are Good,Luke Bryan,18,43
1394,CC,Migos Featuring Gucci Mane,0,96
1395,Pray For Me,The Weeknd & Kendrick Lamar,20,7
1396,Man Of The Woods,Justin Timberlake,0,73
1397,Dura,Daddy Yankee,21,43
1398,Hardaway,Derez De'Shon,11,61
1399,At The Club,Jacquees X Dej Loaf,7,86
1400,The Long Way,Brett Eldredge,12,65
1401,Singles You Up,Jordan Davis,19,50
1402,A Girl Like You,Easton Corbin,0,98
1403,Plug Walk,Rich The Kid,20,13
1404,The Ways,Khalid & Swae Lee,3,63
1405,Paramedic!,SOB X RBE,4,65
1406,Big Shot,Kendrick Lamar & Travis Scott,2,71
1407,Black Panther,Kendrick Lamar,0,91
1408,I Like Me Better,Lauv,41,27
1409,Love Lies,Khalid & Normani,49,9
1410,Get You,Daniel Caesar Featuring Kali Uchis,6,93
1411,Psycho,Post Malone Featuring Ty Dolla $ign,39,1
1412,44 More,Logic,5,22
1413,Billy,6ix9ine,8,50
1414,Want You Back,5 Seconds Of Summer,0,61
1415,RONDO,6ix9ine Featuring Tory Lanez & Young Thug,0,73
1416,Booty,Blac Youngsta,5,73
1417,She's With Me,High Valley,8,79
1418,Break Up In The End,Cole Swindell,17,49
1419,Make Me Feel,Janelle Monae,0,99
1420,Sad!,XXXTENTACION,38,1
1421,Top Off,"DJ Khaled Featuring JAY Z, Future & B",7,22
1422,No Excuses,Meghan Trainor,12,46
1423,Changes,XXXTENTACION,20,18
1424,Powerglide,Rae Sremmurd & Juicy J,17,28
1425,Stranger Things,Joyner Lucas & Chris Brown,0,91
1426,Tempo,Chris Brown,4,88
1427,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,16,74
1428,I Lived It,Blake Shelton,18,63
1429,Broken Clocks,SZA,4,82
1430,Zombie,Bad Wolves,18,54
1431,Indica Badu,Logic Featuring Wiz Khalifa,0,56
1432,Contra,Logic,0,60
1433,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,4,63
1434,Overnight,Logic,0,68
1435,66,Lil Yachty Featuring Trippie Redd,0,73
1436,Midnight,Logic,0,74
1437,Wassup,Logic Featuring Big Sean,0,83
1438,Delicate,Taylor Swift,35,12
1439,Yuck,Logic,0,87
1440,Boom!,Lil Yachty Featuring Ugly God,0,88
1441,BoomTrap Protocol,Logic,0,97
1442,Warm It Up,Logic Featuring Young Sinatra,0,98
1443,Freaky Friday,Lil Dicky Featuring Chris Brown,20,8
1444,Found / Tonight,Lin-Manuel Miranda & Ben Platt,0,49
1445,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,5,55
1446,In My Blood,Shawn Mendes,23,11
1447,Infinity (888),XXXTENTACION Featuring Joey Bada$$,0,83
1448,One Number Away,Luke Combs,20,34
1449,Sit Next To Me,Foster The People,20,42
1450,Going Down!,XXXTENTACION,0,95
1451,Everybody Hates Me,The Chainsmokers,0,100
1452,Say Amen (Saturday Night),Panic! At The Disco,3,60
1453,Lost In Japan,Shawn Mendes X Zedd,16,48
1454,Japan,Famous Dex,15,28
1455,Up Down,Morgan Wallen Featuring Florida Georgia Line,20,49
1456,For The First Time,Darius Rucker,10,58
1457,No Roots,Alice Merton,3,84
1458,Call Out My Name,The Weeknd,18,4
1459,Be Careful,Cardi B,20,11
1460,Wasted Times,The Weeknd,3,27
1461,I Was Never There,The Weeknd Featuring Gesaffelstein,0,35
1462,Hurt You,The Weeknd Featuring Gesaffelstein,0,43
1463,Medicine,Queen Naija,20,45
1464,Privilege,The Weeknd,0,52
1465,Boo'd Up,Ella Mai,35,5
1466,OKRA,"Tyler, The Creator",0,89
1467,Take Back Home Girl,Chris Lane Featuring Tori Kelly,12,55
1468,"Woman, Amen",Dierks Bentley,12,53
1469,Proud,2 Chainz Featuring YG & Offset,2,96
1470,Nice For What,Drake,25,1
1471,I Like It,"Cardi B, Bad Bunny & J Balvin",42,1
1472,Drip,Cardi B Featuring Migos,10,21
1473,I Do,Cardi B Featuring SZA,5,23
1474,Ring,Cardi B Featuring Kehlani,20,28
1475,Get Up 10,Cardi B,2,38
1476,Best Life,Cardi B Featuring Chance The Rapper,3,39
1477,Bickenhead,Cardi B,2,43
1478,Thru Your Phone,Cardi B,3,50
1479,She Bad,Cardi B & YG,2,57
1480,Money Bag,Cardi B,2,58
1481,Diamond Teeth Samurai,YoungBoy Never Broke Again,5,59
1482,One Kiss,Calvin Harris & Dua Lipa,21,26
1483,A$AP Forever,A$AP Rocky Featuring Moby,2,63
1484,Barbie Tingz,Nicki Minaj,4,25
1485,Get Along,Kenny Chesney,21,22
1486,Chun-Li,Nicki Minaj,16,10
1487,Esskeetit,Lil Pump,12,24
1488,Cry Pretty,Carrie Underwood,12,48
1489,Let Me,Zayn,0,73
1490,Guatemala,Swae Lee Featuring Slim Jxmmi,0,84
1491,Anybody,Young Thug Featuring Nicki Minaj,0,89
1492,Gotti,6ix9ine,0,99
1493,No Tears Left To Cry,Ariana Grande,27,3
1494,ATM,J. Cole,5,6
1495,Kevin's Heart,J. Cole,5,8
1496,KOD,J. Cole,12,10
1497,Motiv8,J. Cole,2,15
1498,1985 (Intro To The Fall Off),J. Cole,2,20
1499,The Cut Off,J. Cole Featuring kiLL edward,0,28
1500,Brackets,J. Cole,0,30
1501,Wake Me Up!,Avicii,54,34
1502,Window Pain (Outro),J. Cole,0,41
1503,Once An Addict (Interlude),J. Cole,0,47
1504,Intro,Meek Mill,0,53
1505,Babe,Sugarland Featuring Taylor Swift,2,72
1506,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",21,36
1507,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,9,36
1508,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,13,66
1509,Better Now,Post Malone,39,3
1510,Paranoid,Post Malone,6,11
1511,Rich & Sad,Post Malone,6,14
1512,Spoil My Night,Post Malone Featuring Swae Lee,5,15
1513,Ball For Me,Post Malone Featuring Nicki Minaj,14,16
1514,Same Bitches,Post Malone Featuring G-Eazy & YG,3,20
1515,Zack And Codeine,Post Malone,3,23
1516,Over Now,Post Malone,3,24
1517,Takin' Shots,Post Malone,3,29
1518,92 Explorer,Post Malone,3,40
1519,Otherside,Post Malone,2,46
1520,Blame It On Me,Post Malone,2,47
1521,Sugar Wraith,Post Malone,0,57
1522,Jonestown (Interlude),Post Malone,0,73
1523,Overdose,YoungBoy Never Broke Again,9,42
1524,Ye vs The People,Kanye West Featuring T.I.,0,85
1525,This Is America,Childish Gambino,17,1
1526,Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,5,16
1527,Beautiful Crazy,Luke Combs,11,41
1528,Done For Me,Charlie Puth Featuring Kehlani,9,53
1529,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,3,79
1530,Shoota,Playboi Carti Featuring Lil Uzi Vert,4,46
1531,Yes Indeed,Lil Baby & Drake,29,6
1532,Lucid Dreams,Juice WRLD,37,2
1533,Me Niego,Reik Featuring Ozuna & Wisin,3,77
1534,Lust,Lil Skies,4,87
1535,All Girls Are The Same,Juice WRLD,20,41
1536,Change Lanes,Kevin Gates,0,68
1537,Like That,Kris Wu,0,73
1538,Southside,Lil Baby,0,79
1539,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,6,74
1540,Let It Sing,Kevin Gates,0,82
1541,Sangria Wine,Pharrell Williams x Camila Cabello,0,83
1542,Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",4,78
1543,Champion,NAV Featuring Travis Scott,0,86
1544,Downtown's Dead,Sam Hunt,2,94
1545,Don't Go Breaking My Heart,Backstreet Boys,10,63
1546,I'm Upset,Drake,16,7
1547,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,8,45
1548,TATI,6ix9ine Featuring DJ SPINKING,5,46
1549,Infrared,Pusha T,0,65
1550,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",24,16
1551,If You Know You Know,Pusha T,0,73
1552,What Would Meek Do?,Pusha T Featuring Kanye West,0,75
1553,Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B,0,80
1554,Taste,Tyga Featuring Offset,29,8
1555,Lovely,Billie Eilish & Khalid,13,64
1556,I Was Jack (You Were Diane),Jake Owen,11,43
1557,Girls Like You,Maroon 5 Featuring Cardi B,35,1
1558,High Hopes,Panic! At The Disco,25,4
1559,The Games We Play,Pusha T,0,100
1560,Yikes,Kanye West,5,8
1561,All Mine,Kanye West,9,11
1562,Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,2,24
1563,Violent Crimes,Kanye West,2,27
1564,I Thought About Killing You,Kanye West,0,28
1565,No Mistakes,Kanye West,0,36
1566,Simple,Florida Georgia Line,20,32
1567,Must've Never Met You,Luke Combs,0,81
1568,Humility,Gorillaz Featuring George Benson,0,85
1569,Africa,Weezer,15,51
1570,Youngblood,5 Seconds Of Summer,34,7
1571,Sin Pijama,Becky G + Natti Natasha,12,70
1572,Reborn,KIDS SEE GHOSTS,2,39
1573,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,0,42
1574,Feel The Love,KIDS SEE GHOSTS,0,47
1575,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,0,62
1576,Fire,KIDS SEE GHOSTS,0,67
1577,Cudi Montage,KIDS SEE GHOSTS,0,69
1578,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0,73
1579,Lose It,Quavo Featuring Lil Baby,20,28
1580,Rich Sex,Nicki Minaj Featuring Lil Wayne,2,56
1581,I Know You,Lil Skies Featuring Yung Pinch,3,79
1582,Apes**t,The Carters,15,13
1583,Bed,Nicki Minaj Featuring Ariana Grande,10,42
1584,Bigger > You,"2 Chainz, Drake & Quavo",2,53
1585,DDU-DU DDU-DU,BLACKPINK,0,55
1586,Born To Be Yours,Kygo & Imagine Dragons,2,74
1587,Boss,The Carters,2,77
1588,Ocean,TK Kravitz Featuring Jacqueez,5,76
1589,Hope,XXXTENTACION,2,70
1590,Summer,The Carters,0,84
1591,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,19,32
1592,Nice,The Carters,0,95
1593,Cop Shot The Kid,Nas Featuring Kanye West,0,96
1594,Sober,Demi Lovato,3,47
1595,Coming Home,Keith Urban Featuring Julia Michaels,7,50
1596,Life Changes,Thomas Rhett,14,36
1597,The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2,89
1598,Nonstop,Drake,22,2
1599,In My Feelings,Drake,22,1
1600,Emotionless,Drake,4,8
1601,Don't Matter To Me,Drake Featuring Michael Jackson,5,9
1602,Mob Ties,Drake,8,13
1603,Elevate,Drake,3,14
1604,Survival,Drake,2,17
1605,Can't Take A Joke,Drake,4,18
1606,Talk Up,Drake Featuring JAY-Z,3,20
1607,8 Out Of 10,Drake,3,21
1608,Sandra's Rose,Drake,2,27
1609,Summer Games,Drake,2,28
1610,Blue Tint,Drake,3,30
1611,Jaded,Drake,2,32
1612,Is There More,Drake,2,36
1613,That's How You Feel,Drake,2,37
1614,Peak,Drake,2,38
1615,After Dark,Drake Featuring Static Major & Ty Dolla $ign,3,41
1616,Ratchet Happy Birthday,Drake,0,51
1617,Final Fantasy,Drake,0,56
1618,March 14,Drake,0,57
1619,Karma,Queen Naija,2,63
1620,Kiss Somebody,Morgan Evans,8,53
1621,"Sunrise, Sunburn, Sunset",Luke Bryan,16,35
1622,Hotel Key,Old Dominion,19,48
1623,Growing Pains,Alessia Cara,8,65
1624,Wifi Lit,Future,0,53
1625,Jumpsuit,twenty one pilots,4,50
1626,31 Days,Future,2,65
1627,Cuddle My Wrist,Future,0,71
1628,Millidelphia,Meek Mill Featuring Swizz Beatz,0,73
1629,Racks Blue,Future,0,76
1630,Drug Addicts,Lil Pump,0,83
1631,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,19,52
1632,Kream,Iggy Azalea Feauring Tyga,0,96
1633,God Is A Woman,Ariana Grande,22,8
1634,Summertime Magic,Childish Gambino,5,44
1635,You Say,Lauren Daigle,28,34
1636,Eastside,"benny blanco, Halsey & Khalid",28,9
1637,Wasted,Juice WRLD Featuring Lil Uzi Vert,6,67
1638,Desperate Man,Eric Church,15,68
1639,Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,7,72
1640,Fr Fr,Wiz Khalifa Featuring Lil Skies,0,73
1641,Nico And The Niners,twenty one pilots,2,79
1642,Broken,lovelytheband,22,29
1643,Hooked,Dylan Scott,11,48
1644,1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,8,70
1645,I'm A Mess,Bebe Rexha,20,35
1646,Remind Me To Forget,Kygo Featuring Miguel,11,63
1647,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,20,3
1648,Natural,Imagine Dragons,27,13
1649,I Might Need Security,Chance The Rapper,0,60
1650,Level Up,Ciara,6,59
1651,Best Part,Daniel Caesar Featuring H.E.R.,19,75
1652,Nevermind,Dennis Lloyd,4,86
1653,You Should See Me In A Crown,Billie Eilish,0,93
1654,Lie,NF,20,48
1655,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",15,5
1656,One Day,Logic Featuring Ryan Tedder,0,80
1657,Side Effects,The Chainsmokers Featuring Emily Warren,6,66
1658,That's On Me,Yella Beezy,20,56
1659,Handgun,YG Featuring A$AP Rocky,2,98
1660,Drunk Me,Mitchell Tenpenny,21,39
1661,Sicko Mode,Travis Scott,25,1
1662,Stargazing,Travis Scott,8,8
1663,Carousel,Travis Scott,2,24
1664,Yosemite,Travis Scott,14,25
1665,R.I.P Screw,Travis Scott,2,26
1666,Stop Trying To Be God,Travis Scott,2,27
1667,No Bystanders,Travis Scott,2,31
1668,5% Tint,Travis Scott,2,36
1669,Can't Say,Travis Scott,2,38
1670,NC-17,Travis Scott,0,41
1671,Who? What!,Travis Scott,0,43
1672,Skeletons,Travis Scott,0,47
1673,Astrothunder,Travis Scott,0,48
1674,Houstonfornication,Travis Scott,0,53
